Date,GDX,GLD,Spread,Z_Score,Position,Spread_Return,Strategy_Return,Cumulative_Return
2023-03-14,28.315683364868164,176.8300018310547,-16.64298892619388,-0.0752476030732,0.0,0.4839229236908693,0.0,0.0
2023-03-15,28.315683364868164,178.2100067138672,-16.993852391917926,-0.3020227140462432,0.0,-0.35086346572404636,-0.0,0.0
2023-03-16,28.151561737060547,178.57000732421875,-17.249503450805015,-0.4672587756859386,0.0,-0.2556510588870893,-0.0,0.0
2023-03-17,29.52245330810547,183.77000427246097,-17.200700644617456,-0.4357158455431801,0.0,0.04880280618755961,0.0,0.0
2023-03-20,30.03412628173828,183.83999633789065,-16.706823012838647,-0.1165057661391586,0.0,0.4938776317788083,0.0,0.0
2023-03-21,28.96251106262207,180.3699951171875,-16.896197401124418,-0.2389049387926439,0.0,-0.18937438828577058,-0.0,0.0
2023-03-22,29.503145217895508,183.44000244140625,-17.13610643304486,-0.3939663876240906,0.0,-0.23990903192044044,-0.0,0.0
2023-03-23,30.22720718383789,185.7400054931641,-16.996815616803744,-0.3039379480844544,0.0,0.1392908162411146,0.0,0.0
2023-03-24,30.458908081054688,183.6499938964844,-16.233733474964126,0.1892682540492523,0.0,0.7630821418396181,0.0,0.0
2023-03-27,30.42994499206543,181.9499969482422,-15.830475759223376,0.449907568687297,0.0,0.4032577157407502,0.0,0.0
2023-03-28,31.192625045776367,183.44000244140625,-15.446626605164,0.6980024631759313,0.0,0.3838491540593747,0.0,0.0
2023-03-29,30.931962966918945,182.52999877929688,-15.47592208330436,0.6790677892776974,0.0,-0.02929547814035871,-0.0,0.0
2023-03-30,31.39536476135254,184.17999267578125,-15.432027918267096,0.7074380960203887,0.0,0.04389416503726373,0.0,0.0
2023-03-31,31.23124122619629,183.22000122070312,-15.35207555688904,0.759114053751267,0.0,0.07995236137805506,0.0,0.0
2023-04-03,31.93599510192871,184.5399932861328,-14.982927008770396,0.9977074416162324,0.0,0.3691485481186447,0.0,0.0
2023-04-04,33.007606506347656,187.97999572753903,-14.785929305884956,1.1250338243762332,0.0,0.19699770288544016,0.0,0.0
2023-04-05,33.15242385864258,187.8300018310547,-14.602976307105443,1.2432826324003383,0.0,0.18295299877951265,0.0,0.0
2023-04-06,33.23931121826172,186.4900054931641,-14.175397573835774,1.5196414561577392,0.0,0.42757873326966944,0.0,0.0
2023-04-10,32.81452560424805,185.11000061035156,-14.2493197221254,1.4718630322994677,0.0,-0.07392214828962551,-0.0,0.0
2023-04-11,33.38412094116211,186.27999877929688,-13.977194066340507,1.6477471918596045,0.0,0.2721256557848921,0.0,0.0
2023-04-12,33.71236038208008,187.19000244140625,-13.880321226139593,1.7103594363162975,0.0,0.09687284020091447,0.0,0.0
2023-04-13,34.629512786865234,189.72000122070312,-13.606415922170896,1.887393843633187,0.0,0.2739053039686965,0.0,0.0
2023-04-14,33.87648391723633,186.36000061035156,-13.505171394896893,1.952831659624076,0.0,0.10124452727400346,0.0,0.0
2023-04-17,33.11380386352539,185.52999877929688,-14.05682515252137,1.596278885325314,0.0,-0.5516537576244769,-0.0,0.0
2023-04-18,33.355159759521484,186.25,-13.998528118684211,1.6339582609495011,0.0,0.05829703383715845,0.0,0.0
2023-04-19,32.90141296386719,185.36000061035156,-14.225994359658207,1.486939015349079,0.0,-0.22746624097399604,-0.0,0.0
2023-04-20,32.882102966308594,186.08999633789065,-14.430904302635916,1.3544986800113523,0.0,-0.20490994297770904,-0.0,0.0
2023-04-21,32.44766616821289,184.25,-14.397525732777176,1.3760723963520294,0.0,0.03337856985874055,0.0,0.0
2023-04-24,32.54420852661133,184.80999755859375,-14.443361627276488,1.3464470831545434,0.0,-0.045835894499312246,-0.0,0.0
2023-04-25,32.60213088989258,185.75,-14.624432994009211,1.2294144385612489,0.0,-0.1810713667327235,-0.0,0.0
2023-04-26,32.17735290527344,184.7400054931641,-14.79242190676038,1.1208374333926636,0.0,-0.16798891275116823,-0.0,0.0
2023-04-27,32.67936706542969,184.75,-14.292948829864288,1.443664041194128,0.0,0.49947307689609133,0.0,0.0
2023-04-28,32.418704986572266,184.8000030517578,-14.566324084055388,1.2669722232570912,0.0,-0.27337525419109987,-0.0,0.0
2023-05-01,32.254581451416016,183.97000122070312,-14.51942132312518,1.2972870888785113,0.0,0.04690276093020884,0.0,0.0
2023-05-02,33.53858947753906,187.52000427246097,-14.137994432463168,1.5438163913223613,0.0,0.3814268906620111,0.0,0.0
2023-05-03,33.654441833496094,189.11000061035156,-14.426395447308614,1.3574129081003337,0.0,-0.2884010148454461,-0.0,0.0
2023-05-04,34.45573425292969,190.44000244140625,-13.963253318265387,1.656757576241629,0.0,0.46314212904322716,0.0,0.0
2023-05-05,34.17576599121094,187.4600067138672,-13.48556366019745,1.9655048121371768,0.0,0.47768965806793773,0.0,0.0
2023-05-08,34.137149810791016,187.69000244140625,-13.58265579173257,1.9027508321579576,0.0,-0.09709213153512053,-0.0,0.0
2023-05-09,34.030948638916016,189.02000427246097,-14.027007253997937,1.61555121746363,0.0,-0.4443514622653666,-0.0,0.0
2023-05-10,33.78959655761719,188.75,-14.199711292108049,1.503926664798701,0.0,-0.17270403811011192,-0.0,0.0
2023-05-11,32.36077880859375,187.1300048828125,-15.216648541032086,0.8466451863709953,0.0,-1.0169372489240374,-0.0,0.0
2023-05-12,32.43801498413086,186.80999755859375,-15.058051146972588,0.9491521303859796,0.0,0.15859739405949824,0.0,0.0
2023-05-15,32.73729705810547,187.2100067138672,-14.86047059615096,1.0768552277894852,0.0,0.19758055082162684,0.0,0.0
2023-05-16,31.8684139251709,184.8699951171875,-15.13441048731076,0.8997984655828262,0.0,-0.2739398911597988,-0.0,0.0
2023-05-17,31.598098754882812,184.22999572753903,-15.242007100070488,0.8302550785318025,0.0,-0.10759661275972832,-0.0,0.0
2023-05-18,30.777494430541992,181.83999633789065,-15.454958886819306,0.6926170233064897,0.0,-0.21295178674881754,-0.0,0.0
2023-05-19,31.047813415527344,183.63999938964844,-15.6422870572313,0.571540391557749,0.0,-0.18732817041199468,-0.0,0.0
2023-05-22,30.767841339111328,183.2100067138672,-15.81293436071384,0.4612451771368215,0.0,-0.17064730348253931,-0.0,0.0
2023-05-23,30.555448532104492,183.42999267578125,-16.081258156059278,0.2878182905825297,0.0,-0.26832379534543804,-0.0,0.0
2023-05-24,29.85069465637207,181.9499969482422,-16.409726094916735,0.0755181779681498,0.0,-0.3284679388574574,-0.0,0.0
2023-05-25,29.213520050048828,180.1999969482422,-16.601966721176296,-0.0487335427505501,0.0,-0.1922406262595615,-0.0,0.0
2023-05-26,29.358333587646484,180.9199981689453,-16.640212045737584,-0.0734528098412067,0.0,-0.03824532456128793,-0.0,0.0
2023-05-30,29.155595779418945,182.0399932861328,-17.127706359760623,-0.3885371316960527,0.0,-0.48749431402303856,-0.0,0.0
2023-05-31,29.841039657592773,182.32000732421875,-16.513455487552093,0.0084743081326088,0.0,0.6142508722085296,0.0,0.0
2023-06-01,30.902997970581055,183.7599945068359,-15.81761101936526,0.4582224919949811,0.0,0.6958444681868325,0.0,0.0
2023-06-02,30.323747634887695,181.0500030517578,-15.707851478460649,0.529163853808269,0.0,0.10975954090461215,0.0,0.0
