Date,GDX,GLD
2023-03-20,30.03412628173828,183.83999633789062
2023-03-21,28.96251106262207,180.3699951171875
2023-03-22,29.503145217895508,183.44000244140625
2023-03-23,30.22720718383789,185.74000549316406
2023-03-24,30.458908081054688,183.64999389648438
2023-03-27,30.42994499206543,181.9499969482422
2023-03-28,31.192625045776367,183.44000244140625
2023-03-29,30.931962966918945,182.52999877929688
2023-03-30,31.39536476135254,184.17999267578125
2023-03-31,31.23124122619629,183.22000122070312
2023-04-03,31.93599510192871,184.5399932861328
2023-04-04,33.007606506347656,187.97999572753906
2023-04-05,33.15242385864258,187.8300018310547
2023-04-06,33.23931121826172,186.49000549316406
2023-04-10,32.81452560424805,185.11000061035156
2023-04-11,33.38412094116211,186.27999877929688
2023-04-12,33.71236038208008,187.19000244140625
2023-04-13,34.629512786865234,189.72000122070312
2023-04-14,33.87648391723633,186.36000061035156
2023-04-17,33.11380386352539,185.52999877929688
2023-04-18,33.355159759521484,186.25
2023-04-19,32.90141296386719,185.36000061035156
2023-04-20,32.882102966308594,186.08999633789062
2023-04-21,32.44766616821289,184.25
2023-04-24,32.54420852661133,184.80999755859375
2023-04-25,32.60213088989258,185.75
2023-04-26,32.17735290527344,184.74000549316406
2023-04-27,32.67936706542969,184.75
2023-04-28,32.418704986572266,184.8000030517578
2023-05-01,32.254581451416016,183.97000122070312
2023-05-02,33.53858947753906,187.52000427246094
2023-05-03,33.654441833496094,189.11000061035156
2023-05-04,34.45573425292969,190.44000244140625
2023-05-05,34.17576599121094,187.4600067138672
2023-05-08,34.137149810791016,187.69000244140625
2023-05-09,34.030948638916016,189.02000427246094
2023-05-10,33.78959655761719,188.75
2023-05-11,32.36077880859375,187.1300048828125
2023-05-12,32.43801498413086,186.80999755859375
2023-05-15,32.73729705810547,187.2100067138672
2023-05-16,31.8684139251709,184.8699951171875
2023-05-17,31.598098754882812,184.22999572753906
2023-05-18,30.777494430541992,181.83999633789062
2023-05-19,31.047813415527344,183.63999938964844
2023-05-22,30.767841339111328,183.2100067138672
2023-05-23,30.555448532104492,183.42999267578125
2023-05-24,29.85069465637207,181.9499969482422
2023-05-25,29.213520050048828,180.1999969482422
2023-05-26,29.358333587646484,180.9199981689453
2023-05-30,29.155595779418945,182.0399932861328
2023-05-31,29.841039657592773,182.32000732421875
2023-06-01,30.902997970581055,183.75999450683594
2023-06-02,30.323747634887695,181.0500030517578
2023-06-05,30.468563079833984,182.13999938964844
2023-06-06,30.53614044189453,182.33999633789062
2023-06-07,29.976198196411133,180.14999389648438
2023-06-08,30.449254989624023,182.52999877929688
2023-06-09,30.00516128540039,182.0399932861328
2023-06-12,30.15962791442871,181.8800048828125
2023-06-13,29.821731567382812,180.5399932861328
2023-06-14,29.802425384521484,180.63999938964844
2023-06-15,29.927928924560547,181.91000366210938
2023-06-16,30.304441452026367,181.6300048828125
2023-06-20,29.09766960144043,179.75
2023-06-21,29.020435333251953,179.49000549316406
2023-06-22,28.817699432373047,177.7100067138672
2023-06-23,28.759775161743164,178.1999969482422
2023-06-26,29.03009033203125,178.50999450683594
2023-06-27,28.624614715576172,177.69000244140625
2023-06-28,28.20948600769043,177.27999877929688
2023-06-29,28.595651626586914,177.08999633789062
2023-06-30,29.068708419799805,178.27000427246094
2023-07-03,29.62864875793457,178.47000122070312
2023-07-05,28.798391342163086,177.83999633789062
2023-07-06,28.064674377441406,177.30999755859375
2023-07-07,28.43153190612793,178.63999938964844
2023-07-10,29.001129150390625,178.77999877929688
2023-07-11,29.194210052490234,179.4499969482422
2023-07-12,30.71957015991211,181.8800048828125
2023-07-13,31.07677459716797,182.00999450683594
2023-07-14,30.854726791381836,181.42999267578125
2023-07-17,30.864383697509766,181.55999755859375
2023-07-18,31.50156021118164,183.63999938964844
2023-07-19,31.24089813232422,183.6699981689453
2023-07-20,30.304441452026367,182.74000549316406
2023-07-21,30.400981903076172,182.17999267578125
2023-07-24,30.207901000976562,181.39999389648438
