Date,GDX,GLD,Spread,Z_Score
2023-05-04,34.45573425292969,190.44000244140625,-13.963253318265387,1.6567575762416287
2023-05-05,34.17576599121094,187.4600067138672,-13.48556366019745,1.9655048121371768
2023-05-08,34.137149810791016,187.69000244140625,-13.58265579173257,1.9027508321579576
2023-05-09,34.030948638916016,189.02000427246097,-14.027007253997937,1.61555121746363
2023-05-10,33.78959655761719,188.75,-14.199711292108049,1.503926664798701
2023-05-11,32.36077880859375,187.1300048828125,-15.216648541032086,0.8466451863709953
2023-05-12,32.43801498413086,186.80999755859375,-15.058051146972588,0.9491521303859796
2023-05-15,32.73729705810547,187.2100067138672,-14.86047059615096,1.0768552277894852
2023-05-16,31.8684139251709,184.8699951171875,-15.13441048731076,0.8997984655828262
2023-05-17,31.598098754882812,184.22999572753903,-15.242007100070488,0.8302550785318025
2023-05-18,30.777494430541992,181.83999633789065,-15.454958886819306,0.6926170233064897
2023-05-19,31.047813415527344,183.63999938964844,-15.6422870572313,0.571540391557749
2023-05-22,30.767841339111328,183.2100067138672,-15.81293436071384,0.46124517713682156
2023-05-23,30.555448532104492,183.42999267578125,-16.081258156059278,0.2878182905825297
2023-05-24,29.85069465637207,181.9499969482422,-16.409726094916735,0.07551817796814984
2023-05-25,29.213520050048828,180.1999969482422,-16.601966721176296,-0.04873354275055017
2023-05-26,29.358333587646484,180.9199981689453,-16.640212045737584,-0.07345280984120672
2023-05-30,29.155595779418945,182.0399932861328,-17.127706359760623,-0.3885371316960527
2023-05-31,29.841039657592773,182.32000732421875,-16.513455487552093,0.00847430813260882
2023-06-01,30.902997970581055,183.7599945068359,-15.817611019365259,0.45822249199498116
2023-06-02,30.323747634887695,181.0500030517578,-15.707851478460647,0.529163853808269
2023-06-05,30.468563079833984,182.13999938964844,-15.840165410012936,0.44364481451721505
2023-06-06,30.53614044189453,182.33999633789065,-15.823436869770674,0.4544570447447979
2023-06-07,29.976198196411133,180.1499938964844,-15.826575399480326,0.4524285051767646
2023-06-08,30.449254989624023,182.52999877929688,-15.958630060599283,0.3670770412733893
2023-06-09,30.00516128540039,182.0399932861328,-16.278140853779178,0.1605662396117452
2023-06-12,30.15962791442871,181.8800048828125,-16.08299749500609,0.2866940960703733
2023-06-13,29.821731567382812,180.5399932861328,-16.080198588885033,0.2885031252461416
2023-06-14,29.802425384521484,180.63999938964844,-16.124931122413713,0.2595909521473034
2023-06-15,29.927928924560547,181.91000366210935,-16.322323614171168,0.13200940377729167
2023-06-16,30.304441452026367,181.6300048828125,-15.874621960256476,0.42137436242240317
2023-06-20,29.09766960144043,179.75,-16.603406350814467,-0.049664024840734386
2023-06-21,29.020435333251953,179.49000549316406,-16.614537538590824,-0.056858493885939734
2023-06-22,28.817699432373047,177.7100067138672,-16.364712330109136,0.10461212050358158
2023-06-23,28.759775161743164,178.1999969482422,-16.54721563226633,-0.01334603314526679
2023-06-26,29.03009033203125,178.50999450683594,-16.355716717724043,0.11042629381082547
2023-06-27,28.624614715576172,177.69000244140625,-16.55271100086925,-0.01689787865358656
2023-06-28,28.20948600769043,177.27999877929688,-16.86359710234185,-0.21783424578413918
2023-06-29,28.59565162658691,177.08999633789062,-16.429123744887253,0.0629808104323113
2023-06-30,29.068708419799805,178.27000427246094,-16.25608159558012,0.1748238959788766
2023-07-03,29.62864875793457,178.47000122070312,-15.746990079263632,0.5038672315962335
2023-07-05,28.79839134216309,177.83999633789062,-16.41707002076694,0.07077154640814667
2023-07-06,28.064674377441406,177.30999755859375,-17.016035861887794,-0.31636065274784775
2023-07-07,28.43153190612793,178.63999938964844,-16.987328623591637,-0.29780617846849733
2023-07-10,29.001129150390625,178.77999877929688,-16.453325942553377,0.0473380986720521
2023-07-11,29.19421005249023,179.4499969482422,-16.430590727279036,0.06203264931782898
2023-07-12,30.71957015991211,181.8800048828125,-15.523055249522692,0.6486040048035414
2023-07-13,31.07677459716797,182.0099945068359,-15.198900412714671,0.8581164113970601
2023-07-14,30.854726791381836,181.42999267578125,-15.273483919566303,0.8099105287807719
2023-07-17,30.86438369750977,181.55999755859375,-15.296880493402643,0.7947885193769828
2023-07-18,31.50156021118164,183.63999938964844,-15.188540261577003,0.8648125329755604
2023-07-19,31.24089813232422,183.6699981689453,-15.456829469731346,0.6914080013110336
2023-07-20,30.304441452026367,182.7400054931641,-16.15683738279182,0.23896884000163207
2023-07-21,30.400981903076172,182.17999267578125,-15.917914799327832,0.39339271330859543
2023-07-24,30.20790100097656,181.3999938964844,-15.912682580674666,0.39677447596450044
2023-07-25,30.680953979492188,182.41000366210935,-15.696422553543435,0.5365507605956565
2023-07-26,30.555448532104492,183.3000030517578,-16.04820855561144,0.3091793826919833
2023-07-27,29.30040740966797,180.4199981689453,-16.571014229412192,-0.028727884024549986
2023-07-28,29.657609939575195,181.86000061035156,-16.579929423822847,-0.03449008043234746
2023-07-31,30.323747634887695,182.3500061035156,-16.038374639554085,0.3155353804605278
2023-08-01,29.18455696105957,180.4600067138672,-16.6970367700941,-0.1101805812703838
2023-08-02,28.267412185668945,179.60000610351562,-17.395528120101346,-0.561639535780585
2023-08-03,28.267412185668945,179.5399932861328,-17.380269981991084,-0.5517776769630638
2023-08-04,28.53772735595703,180.19000244140625,-17.27521833200793,-0.4838791867806529
2023-08-07,28.315683364868164,179.77999877929688,-17.393019716683654,-0.5600182684815272
2023-08-08,28.07432746887207,178.63999938964844,-17.344533060847496,-0.5286796771714696
2023-08-09,28.122596740722656,177.7899932861328,-17.080151446873693,-0.3578007578618819
2023-08-10,28.161216735839844,177.60000610351562,-16.993227592714817,-0.3016188848577908
2023-08-11,28.441184997558594,177.60000610351562,-16.713259330996067,-0.12066577966862244
2023-08-14,27.948823928833008,177.05999755859375,-17.068324313344235,-0.35015647516889475
2023-08-15,27.234413146972656,176.58999633789062,-17.6632382301976,-0.7346697764766389
2023-08-16,26.86755752563477,175.57000732421875,-17.77076369640734,-0.8041671790683356
2023-08-17,26.65516662597656,175.3000030517578,-17.91450655287684,-0.897073125146777
2023-08-18,26.50069999694824,175.3300018310547,-18.076600311202082,-1.0018398894959468
2023-08-21,26.751705169677734,175.80999755859375,-17.947633086739742,-0.918483941965249
2023-08-22,26.98340606689453,176.10000610351562,-17.789666278748406,-0.8163845673883948
2023-08-23,27.74608612060547,177.88999938964844,-17.482088417658233,-0.6175864296636924
2023-08-24,27.688161849975582,177.85000610351562,-17.529844475731036,-0.6484528105413546
2023-08-25,27.41784286499023,177.6199951171875,-17.74168363008476,-0.7853717332278934
2023-08-28,27.997093200683594,178.1300048828125,-17.292102251471896,-0.49479184393690373
2023-08-29,28.508766174316406,179.8699951171875,-17.222818295126174,-0.45001124286597377
2023-08-30,28.499113082885746,180.32000732421875,-17.34688608504349,-0.5302005175418615
2023-08-31,28.248104095458984,180.02000427246094,-17.52161989998462,-0.6431369847008089
2023-09-01,28.083982467651367,180.11000061035156,-17.708622915683,-0.7640034577882276
2023-09-05,27.504732131958008,178.63999938964844,-17.91412839776156,-0.8968287105051552
2023-09-06,27.485422134399418,177.8300018310547,-17.72749814527044,-0.7762031670839796
